,name
1454,part_alternation_mark
1455,eight_spoked_asterisk
1456,eight_pointed_star
1457,sparkle
1458,copyright
1459,registered
1460,trade_mark
1461,keycap_#
1462,keycap_*
1463,keycap_0
1464,keycap_1
1465,keycap_2
1466,keycap_3
1467,keycap_4
1468,keycap_5
1469,keycap_6
1470,keycap_7
1471,keycap_8
1472,keycap_9
1473,keycap_10
1474,input_latin_uppercase
1475,input_latin_lowercase
1476,input_numbers
1477,input_symbols
1478,input_latin_letters
1479,A_button_(blood_type)
1480,AB_button_(blood_type)
1481,B_button_(blood_type)
1482,CL_button
1483,COOL_button
1484,FREE_button
1485,information
1486,ID_button
1487,circled_M
1488,NEW_button
1489,NG_button
1490,O_button_(blood_type)
1491,OK_button
1492,P_button
1493,SOS_button
1494,UP!_button
1495,VS_button
1496,Japanese_“here”_button
1497,Japanese_“service_charge”_button
1498,Japanese_“monthly_amount”_button
1499,Japanese_“not_free_of_charge”_button
1500,Japanese_“reserved”_button
1501,Japanese_“bargain”_button
1502,Japanese_“discount”_button
1503,Japanese_“free_of_charge”_button
1504,Japanese_“prohibited”_button
1505,Japanese_“acceptable”_button
1506,Japanese_“application”_button
1507,Japanese_“passing_grade”_button
1508,Japanese_“vacancy”_button
1509,Japanese_“congratulations”_button
1510,Japanese_“secret”_button
1511,Japanese_“open_for_business”_button
1512,Japanese_“no_vacancy”_button
1513,red_circle
1514,orange_circle
1515,yellow_circle
1516,green_circle
1517,blue_circle
1518,purple_circle
1519,brown_circle
1520,black_circle
1521,white_circle
1522,red_square
1523,orange_square
1524,yellow_square
1525,green_square
1526,blue_square
1527,purple_square
1528,brown_square
1529,black_large_square
1530,white_large_square
1531,black_medium_square
1532,white_medium_square
1533,black_medium_small_square
1534,white_medium_small_square
1535,black_small_square
1536,white_small_square
1537,large_orange_diamond
1538,large_blue_diamond
1539,small_orange_diamond
1540,small_blue_diamond
1541,red_triangle_pointed_up
1542,red_triangle_pointed_down
1543,diamond_with_a_dot
1544,radio_button
1545,white_square_button
1546,black_square_button
1547,chequered_flag
1548,triangular_flag
1549,crossed_flags
1550,black_flag
1551,white_flag
1552,rainbow_flag
1553,transgender_flag
1554,pirate_flag
1555,flag_Ascension_Island
1556,flag_Andorra
1557,flag_United_Arab_Emirates
1558,flag_Afghanistan
1559,flag_Antigua_&_Barbuda
1560,flag_Anguilla
1561,flag_Albania
1562,flag_Armenia
1563,flag_Angola
1564,flag_Antarctica
